STN_Code,Location_Name,Water_Body_Type,State_Name,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,Water_Quality,Pollution_Level
4179.0,"BADI KA TALAB, UDAIPUR",POND,RAJASTHAN,23.0,27.0,7.1,7.9,7.2,8.4,380.0,532.0,1.4,2.4,1.56,3.69,23.0,64.0,64.0,120.0,Good,Clean
1420.0,"KODAI KANAL LAKE, TAMILNADU",LAKE,TAMIL NADU,17.0,28.0,6.0,7.0,6.7,7.5,96.0,147.0,2.0,3.0,0.32,0.95,14.0,36.0,25.0,96.0,Good,Clean
3008.0,"POONDI LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,26.0,40.0,6.0,8.9,7.0,8.1,475.0,745.0,2.0,3.0,0.32,0.52,2.0,2.0,2.0,68.0,Good,Clean
3010.0,"PORUR LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,27.0,37.0,6.0,7.0,7.3,8.0,929.0,1410.0,2.0,4.0,0.32,0.62,2.0,78.0,4.0,230.0,Moderate,Slightly Polluted
3011.0,"PULICATE LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,25.0,36.0,5.0,6.9,6.9,8.2,8330.0,59400.0,2.0,4.0,0.32,1.5,2.0,45.0,4.0,230.0,Moderate,Slightly Polluted
3009.0,"REDD HILLS AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,25.0,33.0,5.1,7.1,6.6,8.0,432.0,660.0,2.0,4.0,0.32,0.62,2.0,20.0,2.0,200.0,Moderate,Slightly Polluted
1421.0,"UDHAGAMADALEM LAKE (OOTY),
TAMILNADU",LAKE,TAMIL NADU,17.0,31.0,5.7,7.2,6.1,7.1,339.0,492.0,1.0,4.5,0.32,0.33,38.0,120.0,120.0,330.0,Moderate,Slightly Polluted
3007.0,"VEERANAM LAKE AT CUDDALORE,
TAMILNADU",LAKE,TAMIL NADU,23.0,30.0,6.0,6.4,6.8,7.9,349.0,684.0,1.0,3.0,0.32,0.82,23.0,46.0,58.0,120.0,Good,Clean
1452.0,"YERCAUD LAKE, SALEM, TAMILNADU",LAKE,TAMIL NADU,20.0,30.0,5.3,7.0,6.0,7.8,242.0,371.0,1.0,2.2,0.32,0.33,31.0,120.0,110.0,260.0,Good,Clean
4823.0,"OVER HEAD TANK AT TIRUR VILLAGE, TIRUVALLUR TALUK, TIRUVALLUR
PANCHAYAT UN",TANK,TAMIL NADU,25.0,39.0,5.0,6.7,6.8,7.4,946.0,2032.0,2.0,4.0,0.32,1.18,2.0,20.0,2.0,110.0,Moderate,Slightly Polluted
5052.0,"BAKSHI KUNTA (VEMANA COLONY PARK), CHANDANAGAR,
SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,24.0,0.3,4.4,6.6,8.4,659.0,1451.0,3.0,16.0,3.2,7.6,2.0,23.0,80.0,540.0,Poor,Highly Polluted
4676.0,"BANDA CHERUVU, MALKAJIGIRI (V),
MALKAJIGIRI (NEW MANDAL)",LAKE,TELANGANA,28.0,29.0,0.3,1.3,7.1,8.1,1145.0,1680.0,5.8,16.0,2.7,24.7,14.0,58.0,240.0,430.0,Poor,Highly Polluted
5048.0,"BANDAM CHERUVU, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL 
MALKAGIRI",LAKE,TELANGANA,27.0,27.0,2.0,3.8,7.1,8.2,732.0,877.0,3.0,9.0,3.2,6.2,14.0,63.0,140.0,540.0,Poor,Moderately Polluted
4682.0,"BANDAM CHERUVU, HANAMKONDA",LAKE,TELANGANA,27.0,29.0,0.7,4.1,7.1,8.5,655.0,1457.0,3.4,12.0,0.7,38.0,9.0,36.0,140.0,430.0,Poor,Highly Polluted
5040.0,"BANDLAGUDA CHERUVU, BANDALGUDA
UPPAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,28.0,32.0,0.3,0.3,7.0,7.9,995.0,1519.0,6.4,16.0,3.5,14.8,13.0,94.0,280.0,540.0,Poor,Highly Polluted
4690.0,"BANJARA KUNTA (SINGADI KUNTA(,
SHAIKPET",LAKE,TELANGANA,23.0,30.0,0.3,4.1,7.3,8.4,688.0,1191.0,2.6,6.8,3.6,14.2,7.0,39.0,170.0,540.0,Poor,Moderately Polluted
3074.0,"BANJARA LAKE, BANJARA HILLS, RANGA REDDY",LAKE,TELANGANA,20.0,28.0,0.3,0.3,6.7,7.9,783.0,1246.0,6.0,18.0,1.2,10.8,11.0,70.0,210.0,540.0,Poor,Highly Polluted
5035.0,"BATHAR KUNTA, SHAIKPET, HYDERABAD",LAKE,TELANGANA,23.0,30.0,0.3,2.0,7.1,8.5,1042.0,1318.0,4.0,12.0,4.6,12.4,21.0,63.0,280.0,920.0,Poor,Highly Polluted
4684.0,"CAMPUS LAKE, ICRISAT",LAKE,TELANGANA,24.0,25.0,5.7,6.9,6.4,7.5,385.0,750.0,2.1,3.0,4.09,7.1,10.0,17.0,110.0,240.0,Good,Clean
